W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] 
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] *****************************************
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_144622-4afody5m
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=16
  block_loop_count=3
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=1, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 2 steps
Training for 1 epoch(s) (~190 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.53%) | loss: 10.826538 | dt: 107628.62ms | tok/sec: 4,871 | bf16_mfu: 0.11%
step 00002 (1.05%) | loss: 10.747198 | dt: 1155.50ms | tok/sec: 453,732 | bf16_mfu: 10.07%
step 00003 (1.58%) | loss: 10.594830 | dt: 1086.59ms | tok/sec: 482,506 | bf16_mfu: 10.71%
step 00184 (96.84%) | loss: 4.337673 | dt: 695.44ms | tok/sec: 753,890 | bf16_mfu: 16.73% | eta: 0.1m
step 00185 (97.37%) | loss: 4.328693 | dt: 696.53ms | tok/sec: 752,710 | bf16_mfu: 16.71% | eta: 0.1m
step 00186 (97.89%) | loss: 4.332879 | dt: 693.30ms | tok/sec: 756,218 | bf16_mfu: 16.79% | eta: 0.0m
step 00187 (98.42%) | loss: 4.331074 | dt: 693.10ms | tok/sec: 756,434 | bf16_mfu: 16.79% | eta: 0.0m
step 00188 (98.95%) | loss: 4.319874 | dt: 697.74ms | tok/sec: 751,405 | bf16_mfu: 16.68% | eta: 0.0m
step 00189 (99.47%) | loss: 4.314541 | dt: 695.42ms | tok/sec: 753,915 | bf16_mfu: 16.73% | eta: 0.0m
step 00190 (100.00%) | loss: 4.322673 | dt: 692.35ms | tok/sec: 757,257 | bf16_mfu: 16.81% | eta: 0.0m
Starting epoch 2
step 00191 (100.53%) | loss: 4.321390 | dt: 696.72ms | tok/sec: 752,512 | bf16_mfu: 16.70% | eta: -0.0m
Step 00191 | Epoch 1 | Val BPB: 1.392490 | Val Loss: 4.284961
EMA Val BPB: 1.548285 | EMA Val Loss: 4.764464
Wall clock time: 5.01m
Peak memory: 77392.18 MiB
Total training time: 2.23m
Final train loss: 4.321390
Min val BPB: 1.392490
Min val Loss: 4.284961
wandb: WARNING URL not available in offline run
Result saved to loop_runs/tiny_looped3_fitcheck.json
Total wall time: 318.70s (5.31m)
wandb: 
wandb: Run history:
wandb:        epoch ▁
wandb:         step ▁▁▂▂▃▃▄▄▄▄▄▄▄▄▅▅▅▅▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████
wandb:   train/loss █▇▆▅▅▄▄▄▃▃▃▃▃▃▃▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:    train/mfu ▁█▂▅███▇███▇██▇▇▆▇▆▇███▇█▇▇█▇▇▇▇▇▇█▇▇▇▇▇
wandb:      val/bpb █▁
wandb:  val/ema_bpb ▁
wandb: val/ema_loss ▁
wandb:     val/loss █▁
wandb: 
wandb: Run summary:
wandb:    best_val_loss 4.28496
wandb:            epoch 1
wandb: final_train_loss 4.32139
wandb:             step 191
wandb:       train/loss 4.32139
wandb:        train/mfu 16.70383
wandb:          val/bpb 1.39249
wandb:      val/ema_bpb 1.54829
wandb:     val/ema_loss 4.76446
wandb:         val/loss 4.28496
wandb: 
wandb: You can sync this run to the cloud by running:
wandb: wandb sync /mnt/vast/joey/slowrun/wandb/offline-run-20260417_144622-4afody5m
wandb: Find logs at: ./wandb/offline-run-20260417_144622-4afody5m/logs
